# Synthetic firmware Serial HDR/TLM capture generated for Phase 2 dashboard alignment
HDR,t_ms,baro_valid,baro_upd,baro_seq,bmp_T,bmp_P,bmp_alt,imu_valid,imu_upd,imu_seq,ax,ay,az,gx,gy,gz,aux_valid,aux_upd,aux_seq,lis_ax,lis_ay,lis_az,att_valid,att_upd,att_seq,q0,q1,q2,q3,auxvz_valid,auxvz_upd,auxvz_seq,a_vertical,est_valid,est_upd,est_seeded,est_seq,est_h,est_v,est_a,arm_state,policy_runtime_enabled,software_arm_token,phase,actuator_us,phase_diag_valid,phase_diag_updated,phase_diag_seq,phase_diag_t_ms,phase_diag_age_ms,phase_launch_latched,phase_burnout_latched,phase_descent_latched,phase_launch_candidate,phase_burnout_candidate,phase_descent_candidate,phase_boost_dwell_met,phase_coast_dwell_met,phase_brake_active,phase_launch_confirm_ms,phase_burnout_confirm_ms,phase_descent_confirm_ms,phase_since_launch_ms,phase_since_burnout_ms,policy_valid,policy_cmd,apogee_no_brake,apogee_full_brake,target_apogee,apogee_error,target_nominal,target_effective,uncertainty_margin,sea_level_hpa,baro_baseline_hpa,warn_mask
STATUS,boot complete
TLM,0,1,1,1,21.500000,1001.296160,100,1,1,1,0,0.120000,9.806650,0,0.018000,0,1,1,1,0,0.160000,9.806650,1,1,1,0.999998,0,0,0.002000,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,300,NaN,NaN,1013.250000,1001.100000,0
TLM,100,1,1,6,21.501200,1001.294287,100.015745,1,1,6,0.012590,0.119819,9.820185,0.001079,0.017968,0.000240,1,1,6,0.018079,0.159691,9.827963,1,1,6,0.999998,0.000105,0.000180,0.002000,1,1,6,0,1,1,1,6,0,0,0,0,0,0,0,1000,1,1,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,300,NaN,NaN,1013.250000,1001.100000,0
TLM,200,1,1,11,21.502400,1001.292418,100.031457,1,1,11,0.025118,0.119275,9.833329,0.002148,0.017871,0.000479,1,1,11,0.036029,0.158764,9.848754,1,1,11,0.999998,0.000210,0.000360,0.001998,1,1,11,0,1,1,1,11,0,0,0,0,0,0,0,1000,1,1,11,200,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,300,NaN,NaN,1013.250000,1001.100000,0
TLM,300,1,1,16,21.503600,1001.290556,100.047107,1,1,16,0.037523,0.118370,9.845704,0.003201,0.017709,0.000718,1,1,16,0.053725,0.157224,9.868515,1,1,16,0.999998,0.000314,0.000540,0.001996,1,1,16,0,1,1,1,16,0,0,0,0,0,0,0,1000,1,1,16,300,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,300,NaN,NaN,1013.250000,1001.100000,0
TLM,400,1,1,21,21.504799,1001.288706,100.062660,1,1,21,0.049744,0.117108,9.856953,0.004227,0.017484,0.000956,1,1,21,0.071041,0.155077,9.886766,1,1,21,0.999998,0.000419,0.000720,0.001993,1,1,21,0,1,1,1,21,0,0,0,0,0,0,0,1000,1,1,21,400,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,300,NaN,NaN,1013.250000,1001.100000,0
TLM,500,1,1,26,21.505998,1001.286871,100.078087,1,1,26,0.061722,0.115491,9.866752,0.005220,0.017196,0.001192,1,1,26,0.087856,0.152333,9.903064,1,1,26,0.999997,0.000522,0.000899,0.001988,1,1,26,0,1,1,1,26,0,0,0,1,0,0,0,1000,1,1,26,500,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,300,NaN,NaN,1013.250000,1001.100000,0
TLM,600,1,1,31,21.507197,1001.285054,100.093356,1,1,31,0.073397,0.113525,9.874819,0.006170,0.016846,0.001426,1,1,31,0.104053,0.149005,9.917015,1,1,31,0.999997,0.000626,0.001078,0.001983,1,1,31,0,1,1,1,31,0,0,0,1,0,0,0,1000,1,1,31,600,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,300,NaN,NaN,1013.250000,1001.100000,0
TLM,700,1,1,36,21.508396,1001.283260,100.108436,1,1,36,0.084713,0.111216,9.880920,0.007070,0.016436,0.001658,1,1,36,0.119519,0.145106,9.928290,1,1,36,0.999997,0.000728,0.001257,0.001977,1,1,36,0,1,1,1,36,0,0,0,1,0,0,0,1000,1,1,36,700,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,300,NaN,NaN,1013.250000,1001.100000,0
TLM,800,1,1,41,21.509593,1001.281493,100.123296,1,1,41,0.095614,0.108570,9.884879,0.007913,0.015966,0.001887,1,1,41,0.134150,0.140654,9.936623,1,1,41,0.999997,0.000829,0.001435,0.001969,1,1,41,0,1,1,1,41,0,0,0,1,0,0,0,1000,1,1,41,800,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,300,NaN,NaN,1013.250000,1001.100000,0
