t,px,py,pz,vx,vy,vz,bax,bay,baz,wx,wy,wz,sigma_px,sigma_py,sigma_pz,sigma_vx,sigma_vy,sigma_vz,sigma_bax,sigma_bay,sigma_baz,sigma_wx,sigma_wy,sigma_wz,gps_used,gps_rejected,innovation_pos_norm,innovation_vel_norm
0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,5,5,5,0.500017999676012,0.500017999676012,0.500017999676012,3.0001333303705,3.0001333303705,3.0001333303705,0,0,NaN,NaN
0.02,0.00036921369447104,0.00012035427397818,-0.00396949050670816,0.036921369447104,0.012035427397818,-0.396949050670816,0,0,0,0,0,0,10.0005000005,10.0005000005,10.0005000005,5.00025999396031,5.00025999396031,5.00025999396031,0.500035998704093,0.500035998704093,0.500035998704093,3.00026665481587,3.00026665481587,3.00026665481587,0,0,NaN,NaN
0.04,0.0018080510352165,0.00130840020141407,-0.0164711443364531,0.106962364627442,0.106769165345771,-0.853216332303673,0,0,0,0,0,0,10.001999883024,10.001999883024,10.001999883024,5.00053997444276,5.00053997444276,5.00053997444276,0.500053997084315,0.500053997084315,0.500053997084315,3.00039997333689,3.00039997333689,3.00039997333689,0,0,NaN,NaN
0.06,0.00424908042791754,0.00449631265228562,-0.0376813460853516,0.137140574642662,0.212022079741384,-1.26780384258618,0,0,0,0,0,0,10.0044993158114,10.0044993158114,10.0044993158114,5.00083993953016,5.00083993953016,5.00083993953016,0.500071994816746,0.500071994816746,0.500071994816746,3.00053328593435,3.00053328593435,3.00053328593435,0,0,NaN,NaN
0.08,0.00710426938221775,0.00804510232235191,-0.0666968030949954,0.148378320787359,0.142856887265245,-1.6337418583782,0,0,0,0,0,0,10.0079976798686,10.0079976798686,10.0079976798686,5.0011598870662,5.0011598870662,5.0011598870662,0.500089991901458,0.500089991901458,0.500089991901458,3.00066659260905,3.00066659260905,3.00066659260905,0,0,NaN,NaN
0.1,0.0100676967171906,0.0108351236512314,-0.103135775028772,0.147964412709925,0.136145245622704,-2.01015533499944,0,0,0,0,0,0,10.0124940699461,10.0124940699461,10.0124940699461,5.0014998146556,5.0014998146556,5.0014998146556,0.500107988338519,0.500107988338519,0.500107988338519,3.00079989336177,3.00079989336177,3.00079989336177,0,0,NaN,NaN
0.12,0.0133593816614467,0.0130536227046706,-0.147328002516154,0.181204081715692,0.0857046597212129,-2.40906741373874,0,0,0,0,0,0,10.0179872959411,10.0179872959411,10.0179872959411,5.00185971966428,5.00185971966428,5.00185971966428,0.500125984128,0.500125984128,0.500125984128,3.0009331881933,3.0009331881933,3.0009331881933,0,0,NaN,NaN
0.14,0.0172415879564352,0.0145852059771298,-0.199474070668601,0.207016547783152,0.0674536675247116,-2.805539401506,0,0,0,0,0,0,10.0244758847217,10.0244758847217,10.0244758847217,5.00223959921954,5.00223959921954,5.00223959921954,0.50014397926997,0.50014397926997,0.50014397926997,3.00106647710443,3.00106647710443,3.00106647710443,0,0,NaN,NaN
0.16,0.0214059552499016,0.0162647709885667,-0.259513097890616,0.209420181563488,0.100502833618978,-3.19836332069553,0,0,0,0,0,0,10.0319580823644,10.0319580823644,10.0319580823644,5.00263945021026,5.00263945021026,5.00263945021026,0.5001619737645,0.5001619737645,0.5001619737645,3.00119976009595,3.00119976009595,3.00119976009595,0,0,NaN,NaN
0.18,0.0259196603353751,0.0176185599059376,-0.327429120598704,0.241950326983858,0.0348760581181117,-3.59323895011323,0,0,0,0,0,0,10.0404318567998,10.0404318567998,10.0404318567998,5.00305926928714,5.00305926928714,5.00305926928714,0.500179967611659,0.500179967611659,0.500179967611659,3.00133303716865,3.00133303716865,3.00133303716865,0,0,NaN,NaN
0.2,0.0310563737026728,0.0181606384051278,-0.403238073036748,0.271721009745922,0.0193317918009082,-3.98765629369121,0,0,0,0,0,0,10.0498949008554,10.0498949008554,10.0498949008554,5.00349905286291,5.00349905286291,5.00349905286291,0.500197960811517,0.500197960811517,0.500197960811517,3.00146630832332,3.00146630832332,3.00146630832332,0,0,NaN,NaN
0.22,0.0368349694501254,0.0185639204607923,-0.486859661666931,0.30613856499933,0.0209964137655431,-4.37450256932711,0,0,0,0,0,0,10.0603446356863,10.0603446356863,10.0603446356863,5.00395879711254,5.00395879711254,5.00395879711254,0.500215953364145,0.500215953364145,0.500215953364145,3.00159957356074,3.00159957356074,3.00159957356074,0,0,NaN,NaN
0.24,0.043147571853106,0.0189141898034892,-0.578307695982691,0.32512167529873,0.0140305205041414,-4.77030086224882,0,0,0,0,0,0,10.0717782145811,10.0717782145811,10.0717782145811,5.00443849797358,5.00443849797358,5.00443849797358,0.500233945269611,0.500233945269611,0.500233945269611,3.0017328328817,3.0017328328817,3.0017328328817,0,0,NaN,NaN
0.26,0.0499953087622864,0.0190609637259473,-0.677612236726187,0.35965201561931,0.000646871741674373,-5.16015321210084,0,0,0,0,0,0,10.0841925271325,10.0841925271325,10.0841925271325,5.00493815114633,5.00493815114633,5.00493815114633,0.500251936527986,0.500251936527986,0.500251936527986,3.00186608628699,3.00186608628699,3.00186608628699,0,0,NaN,NaN
0.28,0.0574719598051737,0.0189299291343984,-0.784739701387967,0.388013088669428,-0.013750330896565,-5.55259325407711,0,0,0,0,0,0,10.0975842037556,10.0975842037556,10.0975842037556,5.00545775209421,5.00545775209421,5.00545775209421,0.50026992713934,0.50026992713934,0.50026992713934,3.00199933377741,3.00199933377741,3.00199933377741,0,0,NaN,NaN
0.3,0.0653888109974059,0.0185078817171695,-0.899665395813324,0.403672030553788,-0.0284544108263236,-5.93997618845863,0,0,0,0,0,0,10.1119496205423,10.1119496205423,10.1119496205423,5.00599729604402,5.00599729604402,5.00599729604402,0.500287917103742,0.500287917103742,0.500287917103742,3.00213257535373,3.00213257535373,3.00213257535373,0,0,NaN,NaN
0.32,0.0737148814449669,0.0178077369990987,-1.0223649923541,0.428935014202307,-0.0415600609807618,-6.32998346561906,0,0,0,0,0,0,10.1272849044337,10.1272849044337,10.1272849044337,5.00655677798625,5.00655677798625,5.00655677798625,0.500305906421262,0.500305906421262,0.500305906421262,3.00226581101674,3.00226581101674,3.00226581101674,0,0,NaN,NaN
0.34,0.0826317576066119,0.0168408245116441,-1.152847078772,0.462752601962199,-0.0551311877646953,-6.71822517617095,0,0,0,0,0,0,10.1435859386957,10.1435859386957,10.1435859386957,5.00713619267541,5.00713619267541,5.00713619267541,0.50032389509197,0.50032389509197,0.50032389509197,3.00239904076723,3.00239904076723,3.00239904076723,0,0,NaN,NaN
0.36,0.0921767608218681,0.0155497330241728,-1.29113688436621,0.491747719563425,-0.0739779609824379,-7.11075538325009,0,0,0,0,0,0,10.1608483686791,10.1608483686791,10.1608483686791,5.0077355346304,5.0077355346304,5.0077355346304,0.500341883115935,0.500341883115935,0.500341883115935,3.00253226460599,3.00253226460599,3.00253226460599,0,0,NaN,NaN
0.38,0.102304225200235,0.0139072932043718,-1.43721639320154,0.520998718273283,-0.0902660209976544,-7.49719550028276,0,0,0,0,0,0,10.179067607847,10.179067607847,10.179067607847,5.00835479813482,5.00835479813482,5.00835479813482,0.500359870493228,0.500359870493228,0.500359870493228,3.00266548253381,3.00266548253381,3.00266548253381,0,0,NaN,NaN
0.4,0.113015400610753,0.0119271714087532,-1.59106507219873,0.55011882277849,-0.107746158564214,-7.887672399436,0,0,0,0,0,0,10.1982388440514,10.1982388440514,10.1982388440514,5.00899397723735,5.00899397723735,5.00899397723735,0.500377857223919,0.500377857223919,0.500377857223919,3.00279869455147,3.00279869455147,3.00279869455147,0,0,NaN,NaN
0.42,0.124330550150915,0.00958049514897791,-1.75269136721495,0.581396131237744,-0.12692146741331,-8.27495710218582,0,0,0,0,0,0,10.2183570460395,10.2183570460395,10.2183570460395,5.00965306575216,5.00965306575216,5.00965306575216,0.500395843308076,0.500395843308076,0.500395843308076,3.00293190065975,3.00293190065975,3.00293190065975,0,0,NaN,NaN
0.44,0.136286099693922,0.00685978415790104,-1.92207695417226,0.614158823062971,-0.145149631694376,-8.6636015935457,0,0,0,0,0,0,10.2394169701702,10.2394169701702,10.2394169701702,5.01033205725928,5.01033205725928,5.01033205725928,0.50041382874577,0.50041382874577,0.50041382874577,3.00306510085945,3.00306510085945,3.00306510085945,0,0,NaN,NaN
0.46,0.148881826000872,0.00377469840222103,-2.09923341600785,0.645413807632022,-0.163358943873626,-9.05204459001361,0,0,0,0,0,0,10.2614131673223,10.2614131673223,10.2614131673223,5.01103094510501,5.01103094510501,5.01103094510501,0.50043181353707,0.50043181353707,0.50043181353707,3.00319829515135,3.00319829515135,3.00319829515135,0,0,NaN,NaN
