# Synthetic firmware Serial HDR/TLM capture generated for Phase 2 dashboard alignment
HDR,t_ms,baro_valid,baro_upd,baro_seq,bmp_T,bmp_P,bmp_alt,imu_valid,imu_upd,imu_seq,ax,ay,az,gx,gy,gz,aux_valid,aux_upd,aux_seq,lis_ax,lis_ay,lis_az,att_valid,att_upd,att_seq,q0,q1,q2,q3,auxvz_valid,auxvz_upd,auxvz_seq,a_vertical,est_valid,est_upd,est_seeded,est_seq,est_h,est_v,est_a,arm_state,policy_runtime_enabled,software_arm_token,phase,actuator_us,phase_diag_valid,phase_diag_updated,phase_diag_seq,phase_diag_t_ms,phase_diag_age_ms,phase_launch_latched,phase_burnout_latched,phase_descent_latched,phase_launch_candidate,phase_burnout_candidate,phase_descent_candidate,phase_boost_dwell_met,phase_coast_dwell_met,phase_brake_active,phase_launch_confirm_ms,phase_burnout_confirm_ms,phase_descent_confirm_ms,phase_since_launch_ms,phase_since_burnout_ms,policy_valid,policy_cmd,apogee_no_brake,apogee_full_brake,target_apogee,apogee_error,target_nominal,target_effective,uncertainty_margin,sea_level_hpa,baro_baseline_hpa,warn_mask
STATUS,boot complete
TLM,0,1,1,1,21.500000,1001.296160,100,1,1,1,0,0.160000,9.806650,0,0.018000,0,1,1,1,0,0.200000,9.806650,1,1,1,0.999995,0,0,0.003001,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,1013.250000,1001.100000,0
TLM,100,1,1,6,21.501200,1001.292414,100.031489,1,1,6,0.015387,0.159758,9.825260,0.001079,0.017968,0.000240,1,1,6,0.020876,0.199630,9.833038,1,1,6,0.999995,0.000140,0.000216,0.003000,1,1,6,0,1,1,1,6,0,0,0,0,0,0,0,1000,1,1,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,1013.250000,1001.100000,0
TLM,200,1,1,11,21.502400,1001.288676,100.062915,1,1,11,0.030699,0.159033,9.843334,0.002148,0.017871,0.000479,1,1,11,0.041611,0.198522,9.858758,1,1,11,0.999995,0.000280,0.000432,0.002998,1,1,11,0,1,1,1,11,0,0,0,0,0,0,0,1000,1,1,11,200,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,1013.250000,1001.100000,0
TLM,300,1,1,16,21.503600,1001.284952,100.094213,1,1,16,0.045861,0.157827,9.860349,0.003201,0.017709,0.000718,1,1,16,0.062063,0.196680,9.883161,1,1,16,0.999995,0.000419,0.000648,0.002994,1,1,16,0,1,1,1,16,0,0,0,0,0,0,0,1000,1,1,16,300,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,1013.250000,1001.100000,0
TLM,400,1,1,21,21.504799,1001.281252,100.125321,1,1,21,0.060798,0.156144,9.875817,0.004227,0.017484,0.000956,1,1,21,0.082095,0.194113,9.905630,1,1,21,0.999995,0.000558,0.000863,0.002989,1,1,21,0,1,1,1,21,0,0,0,0,0,0,0,1000,1,1,21,400,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,1013.250000,1001.100000,0
TLM,500,1,1,26,21.505998,1001.277581,100.156174,1,1,26,0.075438,0.153988,9.889291,0.005220,0.017196,0.001192,1,1,26,0.101572,0.190830,9.925602,1,1,26,0.999995,0.000697,0.001079,0.002982,1,1,26,0,1,1,1,26,0,0,0,1,0,0,0,1000,1,1,26,500,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,1013.250000,1001.100000,0
TLM,600,1,1,31,21.507197,1001.273948,100.186712,1,1,31,0.089707,0.151367,9.900382,0.006170,0.016846,0.001426,1,1,31,0.120363,0.186847,9.942579,1,1,31,0.999994,0.000834,0.001294,0.002974,1,1,31,0,1,1,1,31,0,0,0,1,0,0,0,1000,1,1,31,600,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,1013.250000,1001.100000,0
TLM,700,1,1,36,21.508396,1001.270361,100.216872,1,1,36,0.103538,0.148288,9.908771,0.007070,0.016436,0.001658,1,1,36,0.138344,0.182178,9.956141,1,1,36,0.999994,0.000970,0.001508,0.002965,1,1,36,0,1,1,1,36,0,0,0,1,0,0,0,1000,1,1,36,700,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,1013.250000,1001.100000,0
TLM,800,1,1,41,21.509593,1001.266825,100.246592,1,1,41,0.116861,0.144760,9.914215,0.007913,0.015966,0.001887,1,1,41,0.155398,0.176844,9.965959,1,1,41,0.999994,0.001106,0.001722,0.002954,1,1,41,0,1,1,1,41,0,0,0,1,0,0,0,1000,1,1,41,800,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,1013.250000,1001.100000,0
