row_seq,t_us,baro_valid,baro_updated,baro_seq,bmp_T,bmp_P,bmp_alt,imu_valid,imu_updated,imu_seq,ax,ay,az,gx,gy,gz,aux_valid,aux_updated,aux_seq,lis_ax,lis_ay,lis_az,att_valid,att_updated,att_seq,q0,q1,q2,q3,auxvz_valid,auxvz_updated,auxvz_seq,a_vertical,est_valid,est_updated,est_seeded,est_seq,est_h,est_v,est_a,P00,P01,P10,P11,arm_state,policy_runtime_enabled,software_arm_token,phase,actuator_us,phase_diag_valid,phase_diag_updated,phase_diag_seq,phase_diag_t_ms,phase_diag_age_ms,phase_launch_latched,phase_burnout_latched,phase_descent_latched,phase_launch_candidate,phase_burnout_candidate,phase_descent_candidate,phase_boost_dwell_met,phase_coast_dwell_met,phase_brake_active,phase_launch_confirm_ms,phase_burnout_confirm_ms,phase_descent_confirm_ms,phase_since_launch_ms,phase_since_burnout_ms,policy_valid,policy_cmd,apogee_no_brake,apogee_full_brake,target_apogee,apogee_error,target_nominal,target_effective,uncertainty_margin,warn_mask,gps_x,gps_y,gps_z,gps_vx,gps_vy,gps_vz
0,0,1,1,1,21.500000,1001.296160,100,1,1,1,0,0.160000,9.806650,0,0.018000,0,1,1,1,0,0.200000,9.806650,1,1,1,0.999995,0,0,0.003001,1,1,1,0,1,1,1,1,0,0,0,9,0,0,6,0,0,0,0,1000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0,1.500000,0,1.600000,-0.350000,0
1,20000,1,1,2,21.500240,1001.295411,100.006300,1,1,2,0.003080,0.159990,9.810389,0.000216,0.017999,0.000048,1,1,2,0.004180,0.199985,9.811949,1,1,2,0.999995,0.000028,0.000043,0.003001,1,1,2,0,1,1,1,2,0,0,0,9,0.000060,0.000060,6,0,0,0,0,1000,1,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.032000,1.492990,0,1.599997,-0.350972,0
2,40000,1,1,3,21.500480,1001.294662,100.012599,1,1,3,0.006159,0.159961,9.814124,0.000432,0.017995,0.000096,1,1,3,0.008358,0.199941,9.817243,1,1,3,0.999995,0.000056,0.000086,0.003000,1,1,3,0,1,1,1,3,0,0,0,9,0.000120,0.000120,6,0,0,0,0,1000,1,1,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.064000,1.485961,0,1.599987,-0.351944,0
3,60000,1,1,4,21.500720,1001.293912,100.018898,1,1,4,0.009237,0.159913,9.817851,0.000648,0.017988,0.000144,1,1,4,0.012535,0.199867,9.822526,1,1,4,0.999995,0.000084,0.000130,0.003000,1,1,4,0,1,1,1,4,0,0,0,9,0.000180,0.000180,6,0,0,0,0,1000,1,1,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.095999,1.478913,0,1.599971,-0.352916,0
4,80000,1,1,5,21.500960,1001.293163,100.025195,1,1,5,0.012314,0.159845,9.821564,0.000863,0.017979,0.000192,1,1,5,0.016708,0.199763,9.827793,1,1,5,0.999995,0.000112,0.000173,0.003000,1,1,5,0,1,1,1,5,0,0,0,9,0.000240,0.000240,6,0,0,0,0,1000,1,1,5,80,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.127999,1.471844,0,1.599949,-0.353888,0
5,100000,1,1,6,21.501200,1001.292414,100.031489,1,1,6,0.015387,0.159758,9.825260,0.001079,0.017968,0.000240,1,1,6,0.020876,0.199630,9.833038,1,1,6,0.999995,0.000140,0.000216,0.003000,1,1,6,0,1,1,1,6,0,0,0,9,0.000300,0.000300,6,0,0,0,0,1000,1,1,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.159997,1.464757,0,1.599920,-0.354860,0
6,120000,1,1,7,21.501440,1001.291666,100.037782,1,1,7,0.018458,0.159652,9.828935,0.001293,0.017953,0.000288,1,1,7,0.025039,0.199467,9.838257,1,1,7,0.999995,0.000168,0.000259,0.003000,1,1,7,0,1,1,1,7,0,0,0,9,0.000360,0.000360,6,0,0,0,0,1000,1,1,7,120,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.191995,1.457650,0,1.599885,-0.355832,0
7,140000,1,1,8,21.501680,1001.290918,100.044071,1,1,8,0.021526,0.159526,9.832584,0.001508,0.017937,0.000336,1,1,8,0.029195,0.199275,9.843443,1,1,8,0.999995,0.000196,0.000302,0.002999,1,1,8,0,1,1,1,8,0,0,0,9,0.000420,0.000420,6,0,0,0,0,1000,1,1,8,140,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.223993,1.450524,0,1.599843,-0.356803,0
8,160000,1,1,9,21.501920,1001.290170,100.050356,1,1,9,0.024589,0.159381,9.836202,0.001722,0.017917,0.000384,1,1,9,0.033343,0.199054,9.848593,1,1,9,0.999995,0.000224,0.000346,0.002999,1,1,9,0,1,1,1,9,0,0,0,9,0.000480,0.000480,6,0,0,0,0,1000,1,1,9,160,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.255989,1.443378,0,1.599795,-0.357775,0
9,180000,1,1,10,21.502160,1001.289423,100.056638,1,1,10,0.027647,0.159217,9.839787,0.001936,0.017895,0.000432,1,1,10,0.037482,0.198803,9.853699,1,1,10,0.999995,0.000252,0.000389,0.002998,1,1,10,0,1,1,1,10,0,0,0,9,0.000540,0.000540,6,0,0,0,0,1000,1,1,10,180,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.287984,1.436213,0,1.599741,-0.358746,0
10,200000,1,1,11,21.502400,1001.288676,100.062915,1,1,11,0.030699,0.159033,9.843334,0.002148,0.017871,0.000479,1,1,11,0.041611,0.198522,9.858758,1,1,11,0.999995,0.000280,0.000432,0.002998,1,1,11,0,1,1,1,11,0,0,0,9,0.000600,0.000600,6,0,0,0,0,1000,1,1,11,200,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.319979,1.429028,0,1.599680,-0.359718,0
11,220000,1,1,12,21.502640,1001.287930,100.069187,1,1,12,0.033746,0.158830,9.846838,0.002361,0.017843,0.000527,1,1,12,0.045728,0.198212,9.863765,1,1,12,0.999995,0.000308,0.000475,0.002997,1,1,12,0,1,1,1,12,0,0,0,9,0.000660,0.000660,6,0,0,0,0,1000,1,1,12,220,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.351972,1.421824,0,1.599613,-0.360689,0
12,240000,1,1,13,21.502880,1001.287184,100.075453,1,1,13,0.036786,0.158608,9.850295,0.002572,0.017814,0.000575,1,1,13,0.049834,0.197873,9.868713,1,1,13,0.999995,0.000336,0.000518,0.002996,1,1,13,0,1,1,1,13,0,0,0,9,0.000720,0.000720,6,0,0,0,0,1000,1,1,13,240,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.383963,1.414601,0,1.599539,-0.361660,0
13,260000,1,1,14,21.503120,1001.286439,100.081713,1,1,14,0.039819,0.158367,9.853702,0.002782,0.017781,0.000623,1,1,14,0.053925,0.197505,9.873598,1,1,14,0.999995,0.000364,0.000562,0.002996,1,1,14,0,1,1,1,14,0,0,0,9,0.000780,0.000780,6,0,0,0,0,1000,1,1,14,260,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.415953,1.407358,0,1.599459,-0.362631,0
14,280000,1,1,15,21.503360,1001.285696,100.087967,1,1,15,0.042844,0.158106,9.857055,0.002992,0.017747,0.000671,1,1,15,0.058002,0.197107,9.878416,1,1,15,0.999995,0.000391,0.000605,0.002995,1,1,15,0,1,1,1,15,0,0,0,9,0.000840,0.000840,6,0,0,0,0,1000,1,1,15,280,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.447941,1.400095,0,1.599373,-0.363602,0
15,300000,1,1,16,21.503600,1001.284952,100.094213,1,1,16,0.045861,0.157827,9.860349,0.003201,0.017709,0.000718,1,1,16,0.062063,0.196680,9.883161,1,1,16,0.999995,0.000419,0.000648,0.002994,1,1,16,0,1,1,1,16,0,0,0,9,0.000900,0.000900,6,0,0,0,0,1000,1,1,16,300,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.479928,1.392814,0,1.599280,-0.364573,0
16,320000,1,1,17,21.503840,1001.284210,100.100452,1,1,17,0.048869,0.157528,9.863582,0.003408,0.017669,0.000766,1,1,17,0.066108,0.196225,9.887828,1,1,17,0.999995,0.000447,0.000691,0.002993,1,1,17,0,1,1,1,17,0,0,0,9,0.000960,0.000960,6,0,0,0,0,1000,1,1,17,320,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.511913,1.385512,0,1.599181,-0.365543,0
17,340000,1,1,18,21.504079,1001.283469,100.106683,1,1,18,0.051867,0.157211,9.866748,0.003615,0.017627,0.000813,1,1,18,0.070134,0.195740,9.892413,1,1,18,0.999995,0.000475,0.000734,0.002992,1,1,18,0,1,1,1,18,0,0,0,9,0.001020,0.001020,6,0,0,0,0,1000,1,1,18,340,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.543895,1.378192,0,1.599076,-0.366514,0
18,360000,1,1,19,21.504319,1001.282729,100.112905,1,1,19,0.054855,0.156874,9.869846,0.003820,0.017582,0.000861,1,1,19,0.074142,0.195226,9.896912,1,1,19,0.999995,0.000503,0.000777,0.002991,1,1,19,0,1,1,1,19,0,0,0,9,0.001080,0.001080,6,0,0,0,0,1000,1,1,19,360,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.575876,1.370852,0,1.598964,-0.367484,0
19,380000,1,1,20,21.504559,1001.281990,100.119117,1,1,20,0.057832,0.156518,9.872870,0.004024,0.017534,0.000908,1,1,20,0.078129,0.194684,9.901319,1,1,20,0.999995,0.000531,0.000820,0.002990,1,1,20,0,1,1,1,20,0,0,0,9,0.001140,0.001140,6,0,0,0,0,1000,1,1,20,380,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.607854,1.363492,0,1.598845,-0.368454,0
20,400000,1,1,21,21.504799,1001.281252,100.125321,1,1,21,0.060798,0.156144,9.875817,0.004227,0.017484,0.000956,1,1,21,0.082095,0.194113,9.905630,1,1,21,0.999995,0.000558,0.000863,0.002989,1,1,21,0,1,1,1,21,0,0,0,9,0.001200,0.001200,6,0,0,0,0,1000,1,1,21,400,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.639829,1.356114,0,1.598721,-0.369423,0
