t_us,bmp_T,bmp_P,bmp_alt,ax,ay,az,gx,gy,gz,lis_ax,lis_ay,lis_az,q0,q1,q2,q3,a_vertical,est_h,est_v,est_a,P00,P01,P10,P11,arm_state,policy_runtime_enabled,software_arm_token,phase,actuator_us,phase_diag_valid,phase_diag_updated,phase_diag_seq,phase_diag_t_ms,phase_diag_age_ms,phase_launch_latched,phase_burnout_latched,phase_descent_latched,phase_launch_candidate,phase_burnout_candidate,phase_descent_candidate,phase_boost_dwell_met,phase_coast_dwell_met,phase_brake_active,phase_launch_confirm_ms,phase_burnout_confirm_ms,phase_descent_confirm_ms,phase_since_launch_ms,phase_since_burnout_ms,policy_valid,policy_cmd,apogee_no_brake,apogee_full_brake,target_apogee,apogee_error,warn_mask,gps_x,gps_y,gps_z,gps_vx,gps_vy,gps_vz
0,23.500000,994.652054,156.000000,0.000000,0.120000,9.806650,0.000000,0.012000,0.000000,0.007947,0.160000,9.806650,0.997545,-0.000432,0.006174,0.069755,0.000000,0.000000,0.046730,0.000000,0.422500,0.006830,0.006830,0.122696,0,0,0,0,1000.000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.000111,0.000111,299.350000,-299.349889,0,0.000000,0.350000,0.000000,0.000000,0.050000,0.046730
20000,23.500048,994.652054,156.014973,0.028677,0.118987,9.839636,0.000510,0.011996,0.000180,0.038960,0.158929,9.846189,0.997530,-0.000198,0.006411,0.069952,0.006799,0.004819,0.048273,0.006799,0.422890,0.006834,0.006834,0.122703,0,0,0,0,1000.000000,1,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.004937,0.004937,299.349700,-299.344763,0,0.059332,0.367915,0.011699,2.203310,0.949987,0.053672
40000,23.500096,994.652054,156.029788,0.056622,0.115967,9.871352,0.001019,0.011984,0.000360,0.069205,0.155734,9.884414,0.997514,0.000036,0.006647,0.070149,0.013590,0.009628,0.049806,0.013590,0.423280,0.006837,0.006837,0.122709,0,0,0,0,1000.000000,1,1,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.009755,0.009755,299.349400,-299.339645,0,0.118681,0.385661,0.023395,2.206619,0.949946,0.060600
60000,23.500144,994.652054,156.044290,0.083120,0.110989,9.900589,0.001527,0.011964,0.000540,0.097957,0.150465,9.920071,0.997499,0.000270,0.006882,0.070345,0.020365,0.014420,0.051330,0.020365,0.423671,0.006840,0.006840,0.122716,0,0,0,0,1000.000000,1,1,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.014554,0.014554,299.349100,-299.334546,0,0.178030,0.403238,0.035083,2.209925,0.949879,0.067508
80000,23.500192,994.652054,156.058329,0.107495,0.104138,9.926255,0.002034,0.011935,0.000720,0.124533,0.143209,9.952027,0.997483,0.000504,0.007117,0.070542,0.027116,0.019185,0.052843,0.027116,0.424061,0.006844,0.006844,0.122722,0,0,0,0,1000.000000,1,1,5,80,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.019327,0.019327,299.348800,-299.329473,0,0.237362,0.420645,0.046760,2.213228,0.949786,0.074391
100000,23.500240,994.652054,156.071766,0.129124,0.095530,9.947431,0.002538,0.011899,0.000900,0.148301,0.134081,9.979320,0.997468,0.000737,0.007350,0.070738,0.033836,0.023915,0.054346,0.033836,0.424452,0.006847,0.006847,0.122728,0,0,0,0,1000.000000,1,1,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.024065,0.024065,299.348500,-299.324435,0,0.296657,0.437883,0.058421,2.216527,0.949665,0.081245
120000,23.500288,994.652054,156.084475,0.147454,0.085310,9.963413,0.003039,0.011854,0.001079,0.168702,0.123228,10.001205,0.997452,0.000970,0.007583,0.070934,0.040518,0.028600,0.055839,0.040518,0.424843,0.006850,0.006850,0.122735,0,0,0,0,1000.000000,1,1,7,120,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.028759,0.028759,299.348200,-299.319441,0,0.355900,0.454953,0.070064,2.219821,0.949518,0.088064
140000,23.500336,994.652054,156.096345,0.162018,0.073649,9.973745,0.003536,0.011802,0.001259,0.185259,0.110826,10.017185,0.997436,0.001203,0.007815,0.071130,0.047152,0.033234,0.057320,0.047152,0.425234,0.006854,0.006854,0.122741,0,0,0,0,1000.000000,1,1,8,140,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.033401,0.033401,299.347900,-299.314499,0,0.415072,0.471854,0.081683,2.223107,0.949345,0.094843
160000,23.500384,994.652054,156.107281,0.172443,0.060746,9.978240,0.004030,0.011741,0.001439,0.197595,0.097072,10.027036,0.997420,0.001435,0.008047,0.071326,0.053732,0.037806,0.058791,0.053732,0.425626,0.006857,0.006857,0.122747,0,0,0,0,1000.000000,1,1,9,160,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.037982,0.037982,299.347600,-299.309618,0,0.474156,0.488588,0.093277,2.226386,0.949145,0.101577
180000,23.500432,994.652054,156.117209,0.178463,0.046818,9.976992,0.004519,0.011673,0.001618,0.205434,0.082187,10.030817,0.997403,0.001666,0.008277,0.071522,0.060249,0.042310,0.060249,0.060249,0.426017,0.006860,0.006860,0.122753,0,0,0,0,1000.000000,1,1,10,180,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.042495,0.042495,299.347300,-299.304805,0,0.533136,0.505154,0.104840,2.229657,0.948918,0.108261
200000,23.500480,994.652054,156.126074,0.179923,0.032100,9.970367,0.005002,0.011597,0.001798,0.208617,0.066408,10.028859,0.997387,0.001897,0.008506,0.071717,0.066697,0.046737,0.061696,0.066697,0.426409,0.006864,0.006864,0.122759,1,0,0,0,1000.000000,1,1,11,200,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.046931,0.046931,299.347000,-299.300069,0,0.591994,0.521554,0.116369,2.232918,0.948665,0.114890
220000,23.500528,994.652054,156.133845,0.176788,0.016840,9.958988,0.005480,0.011513,0.001977,0.207101,0.049988,10.021754,0.997370,0.002127,0.008735,0.071913,0.073068,0.051080,0.063131,0.073068,0.426801,0.006867,0.006867,0.122765,1,0,0,0,1000.000000,1,1,12,220,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.051283,0.051283,299.346700,-299.295417,0,0.650713,0.537788,0.127861,2.236167,0.948386,0.121459
240000,23.500576,994.652054,156.140512,0.169136,0.001296,9.943704,0.005952,0.011421,0.002156,0.200960,0.033187,10.010321,0.997354,0.002357,0.008962,0.072109,0.079355,0.055331,0.064554,0.079355,0.427193,0.006870,0.006870,0.122771,1,0,0,0,1000.000000,1,1,13,240,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.055544,0.055544,299.346400,-299.290856,0,0.709278,0.553857,0.139311,2.239405,0.948081,0.127963
260000,23.500624,994.652054,156.146088,0.157164,-0.014271,9.925546,0.006416,0.011321,0.002335,0.190384,0.016272,9.995568,0.997337,0.002586,0.009189,0.072304,0.085550,0.059484,0.065963,0.085550,0.427585,0.006874,0.006874,0.122777,1,0,0,0,1000.000000,1,1,14,260,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.059706,0.059706,299.346100,-299.286394,0,0.767670,0.569762,0.150716,2.242630,0.947750,0.134397
